ID, Loan Amount ,Term,Interest Rate, Installment ,Home Owner, Amount ,Verification Status,Issue Date,Loan Status,Purpose,Total Payment
186," ? 8,000 ",36 months,20.62%, ? 300 ,MORTGAGE," ? 7,900 ",Verified,2016-11-21,Current,credit_card," ? 5,984 "
187," ? 12,000 ",36 months,18.77%, ? 438 ,RENT," ? 12,100 ",Source Verified,2015-06-27,Fully Paid,debt_consolidation," ? 16,546 "
188," ? 31,500 ",36 months,10.96%," ? 1,031 ",RENT," ? 31,450 ",Source Verified,2016-06-30,Current,debt_consolidation," ? 19,804 "
189," ? 1,500 ",36 months,13.19%, ? 51 ,RENT," ? 1,350 ",Source Verified,2015-11-24,Fully Paid,credit_card," ? 1,897 "
190," ? 20,500 ",36 months,18.77%, ? 749 ,OWN," ? 20,550 ",Source Verified,2016-03-24,Current,credit_card," ? 10,058 "
191," ? 24,500 ",36 months,16.98%, ? 873 ,MORTGAGE," ? 24,450 ",Not Verified,2015-06-17,Fully Paid,credit_card," ? 31,002 "
192," ? 8,000 ",36 months,16.95%, ? 285 ,MORTGAGE," ? 7,900 ",Verified,2017-12-01,Fully Paid,major_purchase," ? 10,483 "
193," ? 32,000 ",36 months,16.21%," ? 1,128 ",MORTGAGE," ? 32,150 ",Verified,2017-04-30,Fully Paid,debt_consolidation," ? 40,468 "
194," ? 20,500 ",60 months,13.92%, ? 476 ,MORTGAGE," ? 20,450 ",Source Verified,2015-04-03,Fully Paid,major_purchase," ? 28,687 "
195," ? 4,500 ",60 months,7.38%, ? 90 ,OWN," ? 4,300 ",Verified,2016-01-04,Current,small_business," ? 3,706 "
196," ? 27,500 ",36 months,23.83%," ? 1,076 ",RENT," ? 27,600 ",Source Verified,2015-09-30,Charged Off,debt_consolidation," ? 10,517 "
197," ? 26,000 ",36 months,20.56%, ? 974 ,RENT," ? 25,800 ",Not Verified,2016-09-03,Fully Paid,major_purchase," ? 34,787 "
198," ? 25,000 ",60 months,10.95%, ? 543 ,RENT," ? 25,000 ",Verified,2015-08-20,Fully Paid,home_improvement," ? 32,951 "
199," ? 2,000 ",36 months,7.35%, ? 62 ,MORTGAGE," ? 2,150 ",Source Verified,2015-04-10,Fully Paid,debt_consolidation," ? 2,221 "
200," ? 14,500 ",60 months,21.52%, ? 397 ,RENT," ? 14,500 ",Verified,2016-10-15,Fully Paid,small_business," ? 24,549 "
201," ? 16,000 ",36 months,8.87%, ? 508 ,MORTGAGE," ? 15,950 ",Source Verified,2016-07-17,Fully Paid,other," ? 18,976 "
202," ? 12,000 ",36 months,14.54%, ? 413 ,MORTGAGE," ? 12,050 ",Not Verified,2017-02-19,Current,debt_consolidation," ? 5,204 "
203," ? 10,500 ",36 months,9.68%, ? 337 ,MORTGAGE," ? 10,450 ",Not Verified,2016-09-07,Current,debt_consolidation," ? 4,587 "
204," ? 4,500 ",36 months,25.36%, ? 180 ,MORTGAGE," ? 4,400 ",Source Verified,2016-06-06,Fully Paid,home_improvement," ? 6,745 "
205," ? 24,500 ",36 months,20.49%, ? 917 ,RENT," ? 24,500 ",Source Verified,2015-03-22,Current,debt_consolidation," ? 18,381 "
206," ? 14,500 ",36 months,23.39%, ? 564 ,RENT," ? 14,300 ",Verified,2016-01-25,Current,debt_consolidation," ? 14,214 "
207," ? 31,500 ",60 months,19.91%, ? 833 ,MORTGAGE," ? 31,600 ",Not Verified,2016-10-20,Current,debt_consolidation," ? 21,001 "
208," ? 23,500 ",36 months,13.19%, ? 794 ,OWN," ? 23,650 ",Verified,2017-08-19,Current,debt_consolidation," ? 6,342 "
209," ? 21,000 ",36 months,17.25%, ? 751 ,RENT," ? 20,900 ",Verified,2017-05-05,Fully Paid,debt_consolidation," ? 26,317 "
210," ? 16,500 ",36 months,19.09%, ? 606 ,MORTGAGE," ? 16,500 ",Not Verified,2017-09-27,Current,home_improvement," ? 8,597 "
211," ? 11,500 ",60 months,13.04%, ? 262 ,RENT," ? 11,650 ",Verified,2015-05-01,Fully Paid,medical," ? 15,045 "
212," ? 4,000 ",60 months,14.25%, ? 94 ,MORTGAGE," ? 3,950 ",Verified,2015-11-06,Fully Paid,credit_card," ? 5,544 "
213," ? 31,500 ",36 months,6.31%, ? 963 ,MORTGAGE," ? 31,600 ",Verified,2017-12-20,Charged Off,credit_card," ? 10,906 "
214," ? 33,000 ",60 months,19.48%, ? 865 ,MORTGAGE," ? 32,900 ",Verified,2015-07-17,Fully Paid,debt_consolidation," ? 52,508 "
215," ? 17,000 ",60 months,11.35%, ? 373 ,RENT," ? 17,050 ",Not Verified,2017-07-29,Fully Paid,other," ? 21,743 "
216," ? 6,000 ",36 months,23.16%, ? 233 ,MORTGAGE," ? 5,850 ",Source Verified,2017-02-11,Fully Paid,debt_consolidation," ? 7,968 "
217," ? 11,500 ",36 months,22.91%, ? 445 ,MORTGAGE," ? 11,550 ",Source Verified,2015-07-15,Current,other," ? 3,807 "
218," ? 31,000 ",36 months,24.48%," ? 1,224 ",MORTGAGE," ? 31,000 ",Not Verified,2015-03-09,Fully Paid,medical," ? 41,931 "
219," ? 14,000 ",36 months,21.05%, ? 528 ,MORTGAGE," ? 14,100 ",Not Verified,2016-09-04,Fully Paid,debt_consolidation," ? 19,637 "
220," ? 25,500 ",36 months,16.81%, ? 907 ,RENT," ? 25,400 ",Not Verified,2015-06-10,Fully Paid,other," ? 31,186 "
221," ? 28,500 ",36 months,7.52%, ? 887 ,MORTGAGE," ? 28,600 ",Not Verified,2016-10-30,Fully Paid,debt_consolidation," ? 33,497 "
222," ? 32,000 ",36 months,17.06%," ? 1,142 ",RENT," ? 31,900 ",Source Verified,2017-02-17,Fully Paid,home_improvement," ? 42,331 "
223," ? 5,500 ",36 months,9.08%, ? 175 ,MORTGAGE," ? 5,400 ",Not Verified,2016-10-10,Fully Paid,debt_consolidation," ? 6,583 "
224," ? 29,000 ",36 months,11.40%, ? 955 ,RENT," ? 28,900 ",Source Verified,2017-11-15,Fully Paid,debt_consolidation," ? 33,875 "
225," ? 6,500 ",36 months,21.69%, ? 247 ,MORTGAGE," ? 6,300 ",Verified,2017-03-05,Current,major_purchase," ? 3,878 "
226," ? 16,500 ",36 months,9.39%, ? 528 ,RENT," ? 16,400 ",Verified,2016-07-03,Fully Paid,debt_consolidation," ? 18,873 "
227," ? 27,500 ",36 months,21.65%," ? 1,045 ",RENT," ? 27,450 ",Not Verified,2017-10-12,Fully Paid,debt_consolidation," ? 36,150 "
228," ? 20,000 ",36 months,13.91%, ? 683 ,MORTGAGE," ? 20,100 ",Not Verified,2016-11-05,Fully Paid,debt_consolidation," ? 25,372 "
229," ? 9,500 ",36 months,18.06%, ? 344 ,MORTGAGE," ? 9,650 ",Verified,2017-03-26,Current,debt_consolidation," ? 6,397 "
230," ? 32,000 ",60 months,21.64%, ? 877 ,RENT," ? 32,000 ",Not Verified,2017-03-15,Fully Paid,other," ? 51,056 "
231," ? 12,500 ",36 months,17.00%, ? 446 ,OWN," ? 12,650 ",Not Verified,2016-03-05,Fully Paid,debt_consolidation," ? 16,353 "
232," ? 27,000 ",36 months,8.78%, ? 856 ,RENT," ? 27,000 ",Source Verified,2017-05-16,Current,debt_consolidation," ? 21,395 "
233," ? 31,500 ",36 months,16.69%," ? 1,118 ",OWN," ? 31,600 ",Source Verified,2017-01-06,Charged Off,car," ? 17,613 "
234," ? 6,000 ",36 months,10.96%, ? 196 ,MORTGAGE," ? 5,900 ",Source Verified,2015-04-01,Fully Paid,home_improvement," ? 7,171 "
235," ? 22,000 ",60 months,14.61%, ? 519 ,RENT," ? 22,000 ",Verified,2017-11-28,Fully Paid,major_purchase," ? 30,265 "
236," ? 24,500 ",36 months,21.45%, ? 929 ,MORTGAGE," ? 24,400 ",Verified,2015-02-20,Fully Paid,debt_consolidation," ? 34,840 "
237," ? 6,000 ",36 months,24.81%, ? 238 ,RENT," ? 6,000 ",Verified,2016-02-28,Fully Paid,debt_consolidation," ? 8,222 "
238," ? 29,500 ",36 months,12.01%, ? 980 ,MORTGAGE," ? 29,350 ",Verified,2016-12-03,Charged Off,home_improvement," ? 9,375 "
239," ? 16,500 ",36 months,17.04%, ? 589 ,RENT," ? 16,600 ",Not Verified,2016-04-19,Current,home_improvement," ? 4,489 "
240," ? 28,500 ",36 months,20.75%," ? 1,070 ",OWN," ? 28,650 ",Source Verified,2017-03-07,Fully Paid,debt_consolidation," ? 37,669 "
241," ? 5,000 ",36 months,21.99%, ? 191 ,MORTGAGE," ? 5,050 ",Verified,2017-07-26,Fully Paid,home_improvement," ? 6,866 "
242," ? 21,000 ",36 months,18.23%, ? 762 ,MORTGAGE," ? 21,050 ",Source Verified,2017-07-26,Charged Off,car," ? 13,227 "
243," ? 20,000 ",60 months,17.80%, ? 506 ,MORTGAGE," ? 20,050 ",Verified,2016-09-17,Fully Paid,debt_consolidation," ? 29,254 "
244," ? 25,500 ",36 months,8.76%, ? 808 ,RENT," ? 25,400 ",Source Verified,2015-12-21,Fully Paid,credit_card," ? 28,043 "
245," ? 21,000 ",60 months,18.39%, ? 538 ,MORTGAGE," ? 20,800 ",Source Verified,2016-02-04,Current,other," ? 13,011 "
246," ? 32,500 ",36 months,15.83%," ? 1,140 ",MORTGAGE," ? 32,650 ",Source Verified,2015-06-19,Fully Paid,car," ? 39,889 "
247," ? 3,000 ",36 months,16.75%, ? 107 ,RENT," ? 3,150 ",Source Verified,2017-10-11,Fully Paid,debt_consolidation," ? 3,689 "
248," ? 24,000 ",36 months,21.14%, ? 906 ,MORTGAGE," ? 24,150 ",Source Verified,2017-05-20,Fully Paid,medical," ? 33,433 "
249," ? 20,000 ",60 months,6.64%, ? 393 ,RENT," ? 19,850 ",Source Verified,2015-08-29,Current,debt_consolidation," ? 13,815 "
250," ? 23,000 ",60 months,18.21%, ? 587 ,RENT," ? 22,900 ",Not Verified,2016-02-28,Current,credit_card," ? 14,762 "
